,over_number,batter,match_no,score,balls_faced,OUTs
0,1,Yashasvi Jaiswal,56,26,6,0
1,1,Yashasvi Jaiswal,11,20,6,0
2,1,Rohit Sharma,16,14,6,0
3,1,Venkatesh Iyer,68,14,4,0
4,1,Wriddhiman Saha,7,14,6,0
5,1,Harry Brook,19,13,5,0
6,1,Yashasvi Jaiswal,37,13,5,0
7,1,Prabhsimran Singh,53,12,6,0
8,1,Wriddhiman Saha,51,12,8,0
9,1,Yashasvi Jaiswal,66,12,6,0
10,1,David Warner,7,11,9,0
11,1,Rahmanullah Gurbaz,2,11,3,0
12,1,KL Rahul,10,10,3,0
13,1,Ruturaj Gaikwad,49,10,8,0
14,1,Ruturaj Gaikwad,74,10,6,0
15,1,Virat Kohli,20,10,6,0
16,1,David Warner,50,9,5,0
17,1,David Warner,59,9,5,0
18,1,Ishan Kishan,42,9,3,0
19,1,Kyle Mayers,72,9,5,0
20,1,Prabhsimran Singh,2,9,6,0
21,1,Rahmanullah Gurbaz,9,9,7,0
22,1,Rohit Sharma,12,9,5,0
23,1,Shikhar Dhawan,41,9,4,0
24,1,Virat Kohli,9,9,4,0
25,1,Wriddhiman Saha,48,9,5,0
26,1,Yashasvi Jaiswal,52,9,5,0
27,1,Abhishek Sharma,40,8,6,0
28,1,Jason Roy,36,8,6,0
29,1,Jason Roy,47,8,6,0
30,1,Matthew Short,18,8,4,0
31,1,Virat Kohli,65,8,6,0
32,1,Yashasvi Jaiswal,17,8,6,0
33,1,Yashasvi Jaiswal,42,8,6,0
34,1,KL Rahul,6,7,5,0
35,1,Ruturaj Gaikwad,17,7,6,0
36,1,Ruturaj Gaikwad,41,7,8,0
37,1,Shikhar Dhawan,14,7,5,0
38,1,Virat Kohli,50,7,6,0
39,1,Virat Kohli,60,7,4,0
40,1,Yashasvi Jaiswal,8,7,5,0
41,1,Ajinkya Rahane,12,6,2,0
42,1,David Warner,3,6,6,0
43,1,Ishan Kishan,63,6,5,0
44,1,Jason Roy,56,6,6,0
45,1,Kyle Mayers,21,6,5,0
46,1,Mayank Agarwal,34,6,3,0
